ANALS_TRGET_YEAR,ANALS_TRGET_MT,LBRRY_NM,AREA_NM,LBRRY_CD,WKDAY_NM,LON_RATE
2021,1,휘경1동 새싹마루 작은도서관,서울특별시,1222,화,0
2021,1,휘경1동 새싹마루 작은도서관,서울특별시,1222,수,100
2021,1,휘경1동 새싹마루 작은도서관,서울특별시,1222,목,0
2021,1,휘경1동 새싹마루 작은도서관,서울특별시,1222,금,0
2021,1,휘경1동 새싹마루 작은도서관,서울특별시,1222,토,0
2021,1,전농2동 뜨락 작은도서관,서울특별시,1223,일,100
2021,1,전농2동 뜨락 작은도서관,서울특별시,1223,월,0
2021,1,전농2동 뜨락 작은도서관,서울특별시,1223,화,0
2021,1,전농2동 뜨락 작은도서관,서울특별시,1223,수,0
2021,1,전농2동 뜨락 작은도서관,서울특별시,1223,목,0
2021,1,전농2동 뜨락 작은도서관,서울특별시,1223,금,0
2021,1,전농2동 뜨락 작은도서관,서울특별시,1223,토,0
2021,1,동대문책마당도서관,서울특별시,1224,일,0
2021,1,동대문책마당도서관,서울특별시,1224,월,7.512
2021,1,동대문책마당도서관,서울특별시,1224,화,23.263
2021,1,동대문책마당도서관,서울특별시,1224,수,18.094
2021,1,동대문책마당도서관,서울특별시,1224,목,23.667
2021,1,동대문책마당도서관,서울특별시,1224,금,27.464
2021,1,동대문책마당도서관,서울특별시,1224,토,0
2021,1,장안마루 작은도서관,서울특별시,1225,일,7.715
2021,1,장안마루 작은도서관,서울특별시,1225,월,4.896
2021,1,장안마루 작은도서관,서울특별시,1225,화,12.018
2021,1,장안마루 작은도서관,서울특별시,1225,수,13.056
2021,1,장안마루 작은도서관,서울특별시,1225,목,29.97
2021,1,장안마루 작은도서관,서울특별시,1225,금,15.282
2021,1,장안마루 작은도서관,서울특별시,1225,토,17.062
2021,1,배봉산 숲속도서관,서울특별시,1226,일,18.207
2021,1,배봉산 숲속도서관,서울특별시,1226,월,0
2021,1,배봉산 숲속도서관,서울특별시,1226,화,13.489
2021,1,배봉산 숲속도서관,서울특별시,1226,수,17.778
2021,1,배봉산 숲속도서관,서울특별시,1226,목,20.624
2021,1,배봉산 숲속도서관,서울특별시,1226,금,14.464
2021,1,배봉산 숲속도서관,서울특별시,1226,토,15.439
2021,1,장안꿈마루어린이 작은도서관,서울특별시,1227,일,6.349
2021,1,장안꿈마루어린이 작은도서관,서울특별시,1227,월,16.667
2021,1,장안꿈마루어린이 작은도서관,서울특별시,1227,화,4.762
2021,1,장안꿈마루어린이 작은도서관,서울특별시,1227,수,3.968
2021,1,장안꿈마루어린이 작은도서관,서울특별시,1227,목,46.825
2021,1,장안꿈마루어린이 작은도서관,서울특별시,1227,금,19.048
2021,1,장안꿈마루어린이 작은도서관,서울특별시,1227,토,2.381
2021,1,서초구립반포도서관,서울특별시,4400,일,21.629
2021,1,서초구립반포도서관,서울특별시,4400,월,0
2021,1,서초구립반포도서관,서울특별시,4400,화,11.966
2021,1,서초구립반포도서관,서울특별시,4400,수,12.594
2021,1,서초구립반포도서관,서울특별시,4400,목,18.297
2021,1,서초구립반포도서관,서울특별시,4400,금,15.812
2021,1,서초구립반포도서관,서울특별시,4400,토,19.703
2021,1,서초1동 작은도서관,서울특별시,4403,일,0
2021,1,서초1동 작은도서관,서울특별시,4403,월,12.913
2021,1,서초1동 작은도서관,서울특별시,4403,화,6.306
2021,1,서초1동 작은도서관,서울특별시,4403,수,9.309
2021,1,서초1동 작은도서관,서울특별시,4403,목,22.222
2021,1,서초1동 작은도서관,서울특별시,4403,금,49.249
2021,1,서초1동 작은도서관,서울특별시,4403,토,0
2021,1,서이도서관,서울특별시,4404,일,18.089
2021,1,서이도서관,서울특별시,4404,월,0
2021,1,서이도서관,서울특별시,4404,화,14.704
2021,1,서이도서관,서울특별시,4404,수,13.422
2021,1,서이도서관,서울특별시,4404,목,15.744
2021,1,서이도서관,서울특별시,4404,금,18.984
2021,1,서이도서관,서울특별시,4404,토,19.057
2021,1,서초3동 작은도서관,서울특별시,4405,일,0
2021,1,서초3동 작은도서관,서울특별시,4405,월,14.78
2021,1,서초3동 작은도서관,서울특별시,4405,화,12.264
2021,1,서초3동 작은도서관,서울특별시,4405,수,10.377
2021,1,서초3동 작은도서관,서울특별시,4405,목,15.409
2021,1,서초3동 작은도서관,서울특별시,4405,금,47.17
2021,1,서초3동 작은도서관,서울특별시,4405,토,0
2021,1,서초4동 작은도서관,서울특별시,4406,일,0
2021,1,서초4동 작은도서관,서울특별시,4406,월,14.894
2021,1,서초4동 작은도서관,서울특별시,4406,화,15.957
2021,1,서초4동 작은도서관,서울특별시,4406,수,15.248
2021,1,서초4동 작은도서관,서울특별시,4406,목,19.149
2021,1,서초4동 작은도서관,서울특별시,4406,금,34.752
2021,1,서초4동 작은도서관,서울특별시,4406,토,0
2021,1,잠원도서관,서울특별시,4407,일,19.052
2021,1,잠원도서관,서울특별시,4407,월,0
2021,1,잠원도서관,서울특별시,4407,화,13.201
2021,1,잠원도서관,서울특별시,4407,수,15.571
2021,1,잠원도서관,서울특별시,4407,목,16.535
2021,1,잠원도서관,서울특별시,4407,금,17.82
2021,1,잠원도서관,서울특별시,4407,토,17.82
2021,1,반포본동 작은도서관,서울특별시,4408,일,0
2021,1,반포본동 작은도서관,서울특별시,4408,월,14.153
2021,1,반포본동 작은도서관,서울특별시,4408,화,15.313
2021,1,반포본동 작은도서관,서울특별시,4408,수,20.186
2021,1,반포본동 작은도서관,서울특별시,4408,목,9.281
2021,1,반포본동 작은도서관,서울특별시,4408,금,41.067
2021,1,반포본동 작은도서관,서울특별시,4408,토,0
2021,1,반포1동 작은도서관,서울특별시,4409,일,0
2021,1,반포1동 작은도서관,서울특별시,4409,월,11.751
2021,1,반포1동 작은도서관,서울특별시,4409,화,2.765
2021,1,반포1동 작은도서관,서울특별시,4409,수,21.659
2021,1,반포1동 작은도서관,서울특별시,4409,목,11.521
2021,1,반포1동 작은도서관,서울특별시,4409,금,52.304
2021,1,반포1동 작은도서관,서울특별시,4409,토,0
2021,1,반포2동 작은도서관,서울특별시,4410,일,0
2021,1,반포2동 작은도서관,서울특별시,4410,월,18.015
2021,1,반포2동 작은도서관,서울특별시,4410,화,11.397
2021,1,반포2동 작은도서관,서울특별시,4410,수,9.926
2021,1,반포2동 작은도서관,서울특별시,4410,목,17.096
2021,1,반포2동 작은도서관,서울특별시,4410,금,43.566
2021,1,반포2동 작은도서관,서울특별시,4410,토,0
2021,1,반포3동작은도서관,서울특별시,4411,일,0
2021,1,반포3동작은도서관,서울특별시,4411,월,15.577
2021,1,반포3동작은도서관,서울특별시,4411,화,9.04
2021,1,반포3동작은도서관,서울특별시,4411,수,16.134
2021,1,반포3동작은도서관,서울특별시,4411,목,15.16
2021,1,반포3동작은도서관,서울특별시,4411,금,44.089
2021,1,반포3동작은도서관,서울특별시,4411,토,0
2021,1,반포4동 작은도서관,서울특별시,4412,일,0
2021,1,반포4동 작은도서관,서울특별시,4412,월,10.865
2021,1,반포4동 작은도서관,서울특별시,4412,화,14.856
2021,1,반포4동 작은도서관,서울특별시,4412,수,14.856
2021,1,반포4동 작은도서관,서울특별시,4412,목,9.756
2021,1,반포4동 작은도서관,서울특별시,4412,금,49.667
2021,1,반포4동 작은도서관,서울특별시,4412,토,0
2021,1,방배본동 작은도서관,서울특별시,4413,일,0
2021,1,방배본동 작은도서관,서울특별시,4413,월,18.586
2021,1,방배본동 작은도서관,서울특별시,4413,화,12.958
2021,1,방배본동 작은도서관,서울특별시,4413,수,17.539
2021,1,방배본동 작은도서관,서울특별시,4413,목,13.874
2021,1,방배본동 작은도서관,서울특별시,4413,금,37.042
2021,1,방배본동 작은도서관,서울특별시,4413,토,0
2021,1,방배1동 작은도서관,서울특별시,4414,일,0
2021,1,방배1동 작은도서관,서울특별시,4414,월,11.111
