Country,GDP,temperature,precipitation,mortality
 Kazakhstan," 9,793 ",6.4 , 250.0 , 8.1 
 Austria," 49,701 ",6.4 ," 1,110.0 ", 9.9 
 Belarus," 6,674 ",6.2 , 618.0 , 12.8 
 Lithuania," 19,795 ",6.2 , 656.0 , 15.2 
 Georgia," 4,439 ",5.8 ," 1,026.0 ", 10.8 
 Latvia," 17,885 ",5.6 , 667.0 , 14.7 
  Switzerland," 85,135 ",5.5 ," 1,537.0 ", 8.4 
 Estonia," 23,740 ",5.1 , 626.0 , 13.1 
 Denmark," 60,657 ",2.7 , 703.0 , 9.6 
 Sweden," 52,896 ",2.1 , 624.0 , 9.5 
 Tajikistan, 894 ,2.0 , 691.0 , 5.7 
 Iceland," 71,345 ",1.8 ," 1,940.0 ", 6.6 
 Finland," 48,678 ",1.7 , 536.0 , 10.4 
 Kyrgyzstan," 1,318 ",1.6 , 533.0 , 6.1 
 Norway," 74,986 ",1.5 ," 1,414.0 ", 7.9 
,,,,
,,,,
,,,,
,,,,
